YEAR,MONTH,final_cluster,WATER_AMOUNT,percent_of_filtered,TOTAL PRODUCTION  (m3),percent_of_production
2024,,2,115328136.0,31.334625811094675,,
2024,,2,107706132.0,29.971528813926223,,
2024,,2,119437861.0,29.022998875328472,,
2024,,2,99358794.79,28.89125289334934,,
2024,,2,100226235.57,28.144131704709046,,
2025,,2,114411749.0,28.35884051749144,,
2025,,2,121358064.99,28.086794503346297,,
2025,,2,112293245.0,26.344767306740312,,
2025,,2,118691797.36,29.205261730539377,,
2025,,2,118124085.0,27.407867418945724,,
