Unnamed: 0,REGION,ZONE,SUB_ZONE,INSTALLATION_KEY,INST_TYPE_CODE,INSTALLATION_TYPE_DESC,METER_SIZE,BILL_ESTIMATE_ACTUAL,BILL_VALID_INVALID,MAIN_SERVICE,SHADOW_SERVICE,WATER_AMOUNT,SEWER_AMOUNT,BILL_AMOUNT,BILL_VOLUME,MONTH,YEAR,NEGATIVE,final_cluster,gmm_cluster,TARGET_BIN,BILL_VALID_BINARY,High_Loss,Cluster
426,3,1,44,CV-7000374,66244.83111311808,INDUSTRIAL,14.87740638448519,ACTUAL,VALID,WAT,SEW,91.37123426315365,104.10147494470864,15306743.0,114250.0,August,2024.0,False,1,1,1,0,1,1
42261,9,28,60,CV-7043883,318857.4875490196,GOVERNMENT,10.823388004388338,ACTUAL,VALID,WAT,SEW,52.25298789858367,59.544630056577056,8765760.0,65440.0,August,2024.0,False,1,1,1,0,1,1
100115,5,20,12,CV-7103973,42563.93706279501,COMMERCIAL,14.87740638448519,ACTUAL,VALID,WAT,SEW,53.43906989218388,60.895521282365685,8964080.0,66920.0,August,2024.0,False,1,1,1,0,1,1
247731,3,1,44,IN-1000374,66244.83111311808,INDUSTRIAL,14.87740638448519,ACTUAL,VALID,WAT,SEW,102.8525580491257,117.17327450115734,17226200.0,128580.0,Sep,2024.0,False,1,1,1,0,1,1
289364,9,28,60,IN-1043883,318857.4875490196,GOVERNMENT,10.823388004388338,ACTUAL,VALID,WAT,SEW,43.854245133090295,49.97885975504675,7361440.0,54960.0,Sep,2024.0,False,1,1,1,0,1,1
346982,5,20,12,IN-1103973,42563.93706279501,COMMERCIAL,14.87740638448519,ACTUAL,VALID,WAT,SEW,51.042863702410486,58.166964410097115,8563456.0,63930.0,Sep,2024.0,False,1,1,1,0,1,1
494198,3,1,44,CV-7000374,66244.83111311808,INDUSTRIAL,14.87740638448519,ACTUAL,VALID,WAT,SEW,44.16804596458967,50.33874245134637,7414056.0,55350.0,Oct,2024.0,False,1,1,1,0,1,1
535811,9,28,60,CV-7043883,318857.4875490196,GOVERNMENT,10.823388004388338,ACTUAL,VALID,WAT,SEW,46.4107326733502,52.891186514787464,7788936.0,58150.0,Oct,2024.0,False,1,1,1,0,1,1
556567,5,20,12,CV-7065571,42563.93706279501,COMMERCIAL,14.87740638448519,ACTUAL,VALID,WAT,SEW,39.16601563135974,44.63979686537583,6577576.0,49110.0,Oct,2024.0,False,1,1,1,0,1,1
593380,5,20,12,CV-7103973,42563.93706279501,COMMERCIAL,14.87740638448519,ACTUAL,VALID,WAT,SEW,48.53446056729653,55.309403510861344,8144000.0,60800.0,Oct,2024.0,False,1,1,1,0,1,1
782131,9,28,60,CV-7043883,318857.4875490196,GOVERNMENT,10.823388004388338,ACTUAL,VALID,WAT,SEW,40.67184890159614,46.35363023831327,6829287.0,50990.0,Nov,2024.0,False,1,1,1,0,1,1
802884,5,20,12,CV-7065571,42563.93706279501,COMMERCIAL,14.87740638448519,ACTUAL,VALID,WAT,SEW,42.138423258547746,48.023380474152916,7074471.0,52820.0,Nov,2024.0,False,1,1,1,0,1,1
839719,5,20,12,CV-7103973,42563.93706279501,COMMERCIAL,14.87740638448519,ACTUAL,VALID,WAT,SEW,46.52211819435393,53.016809933081525,7807487.0,58290.0,Nov,2024.0,False,1,1,1,0,1,1
1026096,5,20,12,CV-7065571,42563.93706279501,COMMERCIAL,14.87740638448519,ACTUAL,VALID,WAT,SEW,40.65663219088433,46.337538541029105,6826816.0,50970.0,Dec,2024.0,False,1,1,1,0,1,1
