Unnamed: 0,REGION,ZONE,SUB_ZONE,INSTALLATION_KEY,INST_TYPE_CODE,INSTALLATION_TYPE_DESC,METER_SIZE,BILL_ESTIMATE_ACTUAL,BILL_VALID_INVALID,MAIN_SERVICE,SHADOW_SERVICE,WATER_AMOUNT,SEWER_AMOUNT,BILL_AMOUNT,BILL_VOLUME,MONTH,YEAR,NEGATIVE,final_cluster,gmm_cluster,BILL_VALID_BINARY,High_Loss,Cluster
1311,1,12,17,CV-7001409,COM,COMMERCIAL,6.769369624291487,ACTUAL,VALID,WAT,SEW,6.4966693684458665,7.4306542191942,1115048.0,8345.0,August,2024.0,False,2,1,0,1,2
1431,0,24,3,CV-7001518,COM,COMMERCIAL,6.769369624291487,ACTUAL,VALID,WAT,SEW,6.245057700935255,7.142609457198904,1072890.0,8032.0,August,2024.0,False,2,1,0,1,2
1522,1,12,17,CV-7001624,COM,COMMERCIAL,4.742360434243062,ACTUAL,VALID,WAT,SEW,14.997190791498177,17.112041337346056,2536368.0,18952.0,August,2024.0,False,2,1,0,1,2
3860,8,22,48,CV-7003994,GOV,GOVERNMENT,6.769369624291487,ACTUAL,VALID,WAT,SEW,6.806813781637273,7.783589764670509,1166888.0,8732.0,August,2024.0,False,2,1,0,1,2
4648,0,15,14,CV-7004802,DOM,DOMESTIC,-0.3251625408780024,ACTUAL,VALID,WAT,SEW,5.6296975260799025,6.441538830562152,969986.0,7268.0,August,2024.0,False,2,1,0,1,2
10774,8,11,52,CV-7011213,COM,COMMERCIAL,4.742360434243062,ACTUAL,VALID,WAT,SEW,18.61313805847395,21.230434047317885,3140976.0,23464.0,August,2024.0,False,2,1,0,1,2
12039,5,4,50,CV-7012412,BLK-WSP,BULK WATER SERVICE PROVIDER,14.877406384485191,ACTUAL,VALID,WAT, ,16.006662772031056,-0.15370753291925315,1615680.0,50490.0,August,2024.0,False,1,2,0,1,2
15678,8,29,21,CV-7016147,COM,COMMERCIAL,14.877406384485191,ACTUAL,VALID,WAT, ,23.490499553778598,-0.15370753291925315,2362750.0,29550.0,August,2024.0,False,2,2,0,1,2
16048,3,1,44,CV-7016540,GOV,GOVERNMENT,10.82338800438834,ACTUAL,VALID,WAT,SEW,14.945930812095709,17.05847559292008,2528082.0,18884.0,August,2024.0,False,2,1,0,1,2
16377,4,28,64,CV-7016980,COM,COMMERCIAL,6.769369624291487,ACTUAL,VALID,WAT,SEW,6.07112238290417,6.946280608506024,1043912.0,7814.0,August,2024.0,False,2,1,0,1,2
18115,8,11,52,CV-7018701,DOM,DOMESTIC,6.769369624291487,ACTUAL,VALID,WAT,SEW,9.309186330939173,10.636079750896565,1585442.0,11855.0,August,2024.0,False,2,1,0,1,2
22965,8,22,48,CV-7023860,COM,COMMERCIAL,6.769369624291487,ACTUAL,VALID,WAT,SEW,15.117011118571252,17.253350779883508,2556689.0,19098.0,August,2024.0,False,2,1,0,1,2
24188,10,13,62,CV-7024996,COM,COMMERCIAL,10.82338800438834,ACTUAL,VALID,WAT,SEW,6.059902688370114,6.932893398160371,1042000.0,7800.0,August,2024.0,False,2,1,0,1,2
